t,x,y,yaw,act_vx,act_wz,closest_i,cte,target_x,target_y,dist_target,dist_goal,desired_yaw,heading_err,heading_err_deg,cmd_vx,cmd_wz,wz_sat,at_goal
1789855253.2506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.3005,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.3509,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.4005,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.4506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.5007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.5538,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.6005,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.6506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.7008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.7513,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.8007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.8506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.9007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.9513,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.0006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.0514,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.1030,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.1538,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.2008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.2507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.3008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.3542,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.4010,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.4508,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.5071,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.5511,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.6006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.6511,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.7013,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.7515,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.8025,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.8526,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.9010,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855254.9535,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.0015,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.0511,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.1100,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.1592,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.2006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.2526,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.3017,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.3509,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.4008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.4541,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855255.5099,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
